bowler,bowling_team,venue,runs_conceded,balls_bowled,wickets,economy_rate
A Ashish Reddy,Sunrisers Hyderabad,Barabati Stadium,32,19,1,10.11
A Ashish Reddy,Sunrisers Hyderabad,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,21,19,1,6.63
A Ashish Reddy,Sunrisers Hyderabad,Eden Gardens,15,12,1,7.5
A Ashish Reddy,Sunrisers Hyderabad,M Chinnaswamy Stadium,86,48,2,10.75
A Ashish Reddy,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chepauk",31,18,1,10.33
A Ashish Reddy,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",172,116,10,8.9
A Ashish Reddy,Sunrisers Hyderabad,Subrata Roy Sahara Stadium,32,24,2,8.0
A Ashish Reddy,Sunrisers Hyderabad,Wankhede Stadium,11,14,1,4.71
A Badoni,Lucknow Super Giants,"Brabourne Stadium, Mumbai",6,6,1,6.0
A Badoni,Lucknow Super Giants,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",0,1,0,0.0
A Badoni,Lucknow Super Giants,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",19,6,0,19.0
A Badoni,Lucknow Super Giants,"Sawai Mansingh Stadium, Jaipur",6,6,0,6.0
A Badoni,Lucknow Super Giants,"Wankhede Stadium, Mumbai",6,6,1,6.0
A Chandila,Rajasthan Royals,M Chinnaswamy Stadium,21,24,0,5.25
A Chandila,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk",16,18,1,5.33
A Chandila,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",24,24,1,6.0
A Chandila,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",21,24,1,5.25
A Chandila,Rajasthan Royals,Sawai Mansingh Stadium,163,144,8,6.79
A Choudhary,Royal Challengers Bangalore,M Chinnaswamy Stadium,57,55,3,6.22
A Choudhary,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",55,28,1,11.79
A Choudhary,Royal Challengers Bangalore,Wankhede Stadium,32,25,1,7.68
A Dananjaya,Mumbai Indians,Wankhede Stadium,47,25,0,11.28
A Flintoff,Chennai Super Kings,Kingsmead,50,24,0,12.5
A Flintoff,Chennai Super Kings,Newlands,45,24,1,11.25
A Flintoff,Chennai Super Kings,St George's Park,11,18,1,3.67
A Kamboj,Mumbai Indians,"Eden Gardens, Kolkata",24,19,1,7.58
A Kamboj,Mumbai Indians,"Wankhede Stadium, Mumbai",91,49,1,11.14
A Kumble,Royal Challengers Bangalore,Brabourne Stadium,20,24,1,5.0
A Kumble,Royal Challengers Bangalore,Dr DY Patil Sports Academy,48,47,5,6.13
A Kumble,Royal Challengers Bangalore,Eden Gardens,41,42,1,5.86
A Kumble,Royal Challengers Bangalore,Feroz Shah Kotla,33,24,1,8.25
A Kumble,Royal Challengers Bangalore,Kingsmead,73,96,7,4.56
A Kumble,Royal Challengers Bangalore,M Chinnaswamy Stadium,363,291,11,7.48
A Kumble,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",33,48,4,4.12
A Kumble,Royal Challengers Bangalore,New Wanderers Stadium,91,86,6,6.35
A Kumble,Royal Challengers Bangalore,Newlands,45,43,5,6.28
A Kumble,Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali",73,50,1,8.76
A Kumble,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",35,25,1,8.4
A Kumble,Royal Challengers Bangalore,Sawai Mansingh Stadium,63,49,1,7.71
A Kumble,Royal Challengers Bangalore,St George's Park,80,73,0,6.58
A Kumble,Royal Challengers Bangalore,SuperSport Park,64,60,4,6.4
A Kumble,Royal Challengers Bangalore,"Vidarbha Cricket Association Stadium, Jamtha",27,25,1,6.48
A Mishra,Delhi Capitals,Arun Jaitley Stadium,347,294,19,7.08
A Mishra,Delhi Capitals,Barabati Stadium,13,19,1,4.11
A Mishra,Delhi Capitals,Brabourne Stadium,72,43,0,10.05
A Mishra,Delhi Capitals,Buffalo Park,20,26,0,4.62
A Mishra,Delhi Capitals,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,103,96,3,6.44
A Mishra,Delhi Capitals,Dubai International Cricket Stadium,23,24,0,5.75
A Mishra,Delhi Capitals,Eden Gardens,122,99,2,7.39
A Mishra,Delhi Capitals,Feroz Shah Kotla,678,566,36,7.19
A Mishra,Delhi Capitals,Green Park,27,12,1,13.5
A Mishra,Delhi Capitals,Kingsmead,57,42,0,8.14
A Mishra,Delhi Capitals,M Chinnaswamy Stadium,57,42,2,8.14
A Mishra,Delhi Capitals,M.Chinnaswamy Stadium,32,12,0,16.0
A Mishra,Delhi Capitals,MA Chidambaram Stadium,16,18,0,5.33
A Mishra,Delhi Capitals,"MA Chidambaram Stadium, Chepauk",34,49,3,4.16
A Mishra,Delhi Capitals,"MA Chidambaram Stadium, Chepauk, Chennai",55,48,5,6.88
A Mishra,Delhi Capitals,Maharashtra Cricket Association Stadium,75,67,5,6.72
A Mishra,Delhi Capitals,"Narendra Modi Stadium, Ahmedabad",27,18,1,9.0
A Mishra,Delhi Capitals,New Wanderers Stadium,40,43,3,5.58
A Mishra,Delhi Capitals,OUTsurance Oval,33,26,3,7.62
A Mishra,Delhi Capitals,Punjab Cricket Association IS Bindra Stadium,46,24,0,11.5
A Mishra,Delhi Capitals,"Punjab Cricket Association IS Bindra Stadium, Mohali",46,31,0,8.9
A Mishra,Delhi Capitals,"Punjab Cricket Association Stadium, Mohali",23,24,1,5.75
A Mishra,Delhi Capitals,Rajiv Gandhi International Stadium,32,43,2,4.47
A Mishra,Delhi Capitals,"Rajiv Gandhi International Stadium, Uppal",52,36,2,8.67
A Mishra,Delhi Capitals,"Sardar Patel Stadium, Motera",34,24,2,8.5
A Mishra,Delhi Capitals,Saurashtra Cricket Association Stadium,19,18,1,6.33
A Mishra,Delhi Capitals,Sawai Mansingh Stadium,55,38,2,8.68
A Mishra,Delhi Capitals,Shaheed Veer Narayan Singh International Stadium,89,60,1,8.9
A Mishra,Delhi Capitals,Sharjah Cricket Stadium,14,13,1,6.46
A Mishra,Delhi Capitals,Sheikh Zayed Stadium,35,24,2,8.75
A Mishra,Delhi Capitals,St George's Park,19,26,1,4.38
A Mishra,Delhi Capitals,SuperSport Park,131,99,7,7.94
A Mishra,Delhi Capitals,Wankhede Stadium,82,76,5,6.47
A Mishra,Delhi Capitals,"Wankhede Stadium, Mumbai",27,18,0,9.0
A Mishra,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",74,66,6,6.73
A Mishra,Lucknow Super Giants,"M Chinnaswamy Stadium, Bengaluru",18,12,1,9.0
A Mishra,Lucknow Super Giants,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",23,12,0,11.5
A Mishra,Lucknow Super Giants,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",40,25,1,9.6
A Mishra,Lucknow Super Giants,"Sawai Mansingh Stadium, Jaipur",16,12,0,8.0
A Mishra,Sunrisers Hyderabad,Barabati Stadium,47,43,1,6.56
A Mishra,Sunrisers Hyderabad,Dr DY Patil Sports Academy,26,25,2,6.24
A Mishra,Sunrisers Hyderabad,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,31,24,1,7.75
A Mishra,Sunrisers Hyderabad,Dubai International Cricket Stadium,92,50,0,11.04
A Mishra,Sunrisers Hyderabad,Eden Gardens,48,42,2,6.86
A Mishra,Sunrisers Hyderabad,Feroz Shah Kotla,110,103,5,6.41
A Mishra,Sunrisers Hyderabad,Himachal Pradesh Cricket Association Stadium,10,24,4,2.5
A Mishra,Sunrisers Hyderabad,M Chinnaswamy Stadium,70,50,2,8.4
A Mishra,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chepauk",78,54,4,8.67
A Mishra,Sunrisers Hyderabad,Maharashtra Cricket Association Stadium,19,24,4,4.75
A Mishra,Sunrisers Hyderabad,Nehru Stadium,14,24,1,3.5
A Mishra,Sunrisers Hyderabad,"Punjab Cricket Association Stadium, Mohali",51,30,1,10.2
A Mishra,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",602,507,29,7.12
A Mishra,Sunrisers Hyderabad,"Sardar Patel Stadium, Motera",13,25,0,3.12
A Mishra,Sunrisers Hyderabad,Sawai Mansingh Stadium,52,37,3,8.43
A Mishra,Sunrisers Hyderabad,Sharjah Cricket Stadium,83,46,2,10.83
A Mishra,Sunrisers Hyderabad,Sheikh Zayed Stadium,27,24,2,6.75
A Mishra,Sunrisers Hyderabad,Subrata Roy Sahara Stadium,27,19,0,8.53
A Mishra,Sunrisers Hyderabad,Wankhede Stadium,87,68,1,7.68
A Mithun,Royal Challengers Bangalore,Feroz Shah Kotla,76,49,3,9.31
A Mithun,Royal Challengers Bangalore,Himachal Pradesh Cricket Association Stadium,31,20,0,9.3
A Mithun,Royal Challengers Bangalore,JSCA International Stadium Complex,37,25,1,8.88
